wwtps
ANNA STP
Annie Glidden Lift Station
BATAVIA WWTF
BEARDSTOWN SD STP
BELLEVILLE STP #1 - East
BELLEVILLE STP #1 - West
BELLEVILLE STP 1 - East
BELLEVILLE STP 1 - West
BELVIDERE STP
BLOOMINGTON-NORMAL WRD SE WWTP - South Plant 4
BLOOMINGTON-NORMAL WRD STP - West Plant 1
BLOOMINGTON-NORMAL WRD STP - West Plant 3
BLOOMINGTON/NORMAL WRD STP - West Plant 1
BLOOMINGTON/NORMAL WRD STP - West Plant 3
Building 605
Building 630
Building 644
Building 664
Building 937
Building 951
Building 953
CANTON WEST STP
CAROL STREAM WRC
CARROLLTON STP
CCJ- CDWM sewer
CCJ- Cermak N
CCJ- Cermak S
CCJ- Division 10
CCJ- Division 11 (Pod A)
CCJ- Division 11 (Pod B)
CCJ- Division 11 (Pod C)
CCJ- Division 11 (Pod D)
CCJ- Division 16 (Bootcamp)
CCJ- Division 2
CCJ- Division 2-Dorm 2
CCJ- Division 3 -Annex
CCJ- Division 4
CCJ- Division 5
CCJ- Division 6
CCJ- Division 6 (South)
CCJ- Division 8 (RTU)
CCJ- Division 9
CCJ - UNKNOWN
CENTRALIA STP
CHENOA STP
CHESTER STP
CHRISTIAN COUNTY WRD STP
CITY OF O'FALLON STP
City of O’Fallon STP
City of OFallon STP
CITY OF OFALLON STP
Cook County Jail- Div 8
CRYSTAL LAKE STP 2
CRYSTAL LAKE WWTP 3
DANVILLE SD
DCDPW-WOODRIDGE-GREEN VALLEY STP
DECATUR SD MAIN STP
DIXON STP
DOWNERS GROVE S.D. - WASTEWATER TREATMENT CENTER
DU QUOIN STP
DUPAGE COUNTY PUBLIC WORKS KNOLLWOOD STP
Edison Elementary School – Parking Lot
Edison Elementary School – Pump Station
Edison Elementary School – Pump Station
EDWARDSVILLE STP
EFFINGHAM STP
ELMHURST STP
Emerson Elementary School
FLORA STP
FOUR RIVERS SANITATION AUTHORITY
FOX METRO WRD WWTP
Freedom Middle School
FREEPORT WWTF
GALENA SOUTH STP
Galesburg Sample Site
GALESBURG SD STP
GLENBARD WASTEWATER AUTHORITY - MAIN WWTP
Gurnee Interceptor
Hall High School
Hillside Elementary School
JACKSONVILLE STP
JFK Elementary School
KANKAKEE RIVER METRO AGENCY
KISHWAUKEE WATER RECLAMATION DISTRICT WWTP
LACON WWTP
Lake County Interceptor
LAWRENCEVILLE WWTP
LCPWD-DES PLAINES RIVER WRF
Lincoln Junior High School
Lions Park Lift Station
MACOMB STP
Madison Elementary School – Back Lot
Madison Elementary School – Drop-off
Markword VA Home
Marseilles Elementary School
McAuley – Misericordia
METROPOLITAN WRDGC-KIRIE
MH 10420
MH 10422
MH 10541
MH 11459
MHOL12-00024
MHOL16-00342
MHOL23-00116
MHOL23-00259
MOLINE NORTH STP
MOLINE SOUTH STP
MONMOUTH MAIN STP
MT. STERLING NORTHEAST STP - North
MT. STERLING NORTHEAST STP - South Flume
MT. STERLING NORTHEAST STP - South WICC
MT. VERNON STP
MWRDGC-JOHN E. EGAN WRP
MWRDGC CALUMET WRP
MWRDGC HANOVER PARK WRP
MWRDGC LEMONT WRP
MWRDGC STICKNEY WRP - SWS(N/S)
MWRDGC STICKNEY WRP - WS
MWRDGC TERRENCE J O'BRIEN WTR RECLAMATION PLANT
NAPERVILLE SPRINGBROOK WRC
NASHVILLE STP
NORTHERN MORAINE WW RECLAMATION DIST WWTP
NSSD CLAVEY ROAD STP
NSSD GURNEE STP
NSSD WAUKEGAN STP
O'Hare AMC
O'Hare H&R
OLNEY STP
ORD All
OTTAWA WWTP
PEKIN STP 1
PEORIA SD STP
PITTSFIELD STP
PRINCETON STP
PS-5 Interceptor
QUINCY STP
ROMEOVILLE WASTEWATER TREATMENT FACILITY
Saratoga Elementary School
SAUGET-ABRTF
SAVANNA WWTP
Schapers VA Home
SHELBYVILLE STP
SMH000017048
SMH000025183
SMH000031961
SMH000062398
SMH000072456
SMH000079342
SMH000111150
SMH000116477
SPRING CREEK STP
SPRING VALLEY STP
STAUNTON STP
STERLING-ELKHORN CREEK STP
SUGAR CREEK STP
TOLUCA STP
UI0144_Orchard_Downs
UI1126_Rsch_Park
UI1611_Armory_Ave
UI2275_Matthews_Ave
Upper Salt Creek 1
Upper Salt Creek 10
Upper Salt Creek 11
Upper Salt Creek 2
URBANA-CHAMPAIGN SD NE STP
URBANA-CHAMPAIGN SD SW STP
Village – Misericordia
Village of Bensenville South STP
VILLAGE OF BENSENVILLE SOUTH STP
WATSEKA STP
Woodland Elementary East
Woodland Elementary West
Woodland Intermediate
Woodland Middle School
Woodland Primary School
WOODSTOCK - NORTH STP
WOODSTOCK - SOUTH STP
WOODSTOCK SOUTH STP
YORKVILLE-BRISTOL SD STP
